"","Site","total_days","min_start_date","Region","Latitude","Longitude"
"1","fk06",126,2024-05-15,"East Coast","24.45296","-81.85752"
"2","fk07",243,2024-05-15,"East Coast","24.45032","-81.87824"
"3","fgb01",234,2023-05-04,"East Coast","28.1661","-94.2965"
"4","as01",71,2023-03-17,"Pacific Islands","-14.36565","-170.76308"
"5","fk01",1153,2018-12-18,"East Coast","24.43149","-81.93027"
"6","fk05",633,2023-03-14,"East Coast","24.45778","-81.84337"
"7","hi08",322,2023-01-08,"Pacific Islands","20.07866","-155.87263"
"8","gr01",1587,2018-12-13,"East Coast","31.39642","-80.8904"
"9","hi01",887,2018-11-29,"Pacific Islands","20.80614","-156.65531"
"10","hi03",892,2018-11-08,"Pacific Islands","21.28567","-157.59983"
"11","hi04",920,2018-11-24,"Pacific Islands","22.26347","-159.58638"
"12","pm01",892,2020-03-31,"Pacific Islands","22.66241","-161.04201"
"13","pm02",1080,2019-10-01,"Pacific Islands","23.75794","-166.33467"
"14","ci04",1327,2018-11-01,"West Coast","33.848534","-120.113567"
"15","mb01",1351,2018-11-15,"West Coast","36.798","-121.976"
"16","mb02",1647,2018-11-15,"West Coast","36.648","-121.908"
"17","sb01",2202,2018-11-12,"East Coast","42.43855","-70.5458"
"18","sb03",1775,2018-11-12,"East Coast","42.25557","-70.1788"
"19","oc02",1348,2019-03-08,"West Coast","48.49033","-125.003737"
"20","ci01",1312,2018-10-31,"West Coast","34.043348","-120.080202"
"21","mb03",4257,2018-11-15,"West Coast","36.3703","-122.3148"
